country,qid,year,month,views,total_views,views_norm
France,Q243257,2019,7,15191,750363466,20.24485557776343
France,Q243257,2019,8,13264,798527770,16.610568221065122
France,Q243257,2019,9,8890,805558983,11.035815114236023
France,Q243257,2019,10,6287,875175735,7.183700082818224
France,Q243257,2019,11,5368,930187416,5.770880048112799
France,Q243257,2019,12,7292,925684149,7.877416943865158
France,Q243257,2020,1,8691,957286462,9.078787118583529
France,Q243257,2020,2,7506,872750761,8.60039353205445
France,Q243257,2020,3,16811,974918147,17.243498904734203
France,Q243257,2020,4,10353,1134231023,9.127770083925839
France,Q243257,2020,5,11067,1084785304,10.202018739737646
France,Q243257,2020,6,5591,878046129,6.36754700617785
France,Q243257,2020,7,4816,846119140,5.691869823438813
France,Q243257,2020,8,6351,833220634,7.622230824398907
France,Q243257,2020,9,5207,820015249,6.349881915427648
France,Q243257,2020,10,3374,905851339,3.7246729730782016
France,Q243257,2020,11,3275,1036446190,3.1598360161852685
France,Q243257,2020,12,3174,1016869361,3.121344905975587
France,Q243257,2021,1,3643,1026387492,3.549341772376158
France,Q243257,2021,2,2949,912893537,3.230387641576654
France,Q243257,2021,3,3925,1001687821,3.9183864650381928
France,Q243257,2021,4,3557,973048271,3.655522655977259
France,Q243257,2021,5,4100,1000296515,4.09878464886984
France,Q243257,2021,6,4211,869617497,4.842358869879087
France,Q243257,2021,7,4078,833732527,4.891256929454067
France,Q243257,2021,8,4700,875768402,5.366715662801454
France,Q243257,2021,9,3116,841141143,3.7044912449372362
France,Q243257,2021,10,2219,904126879,2.4543015494178224
France,Q243257,2021,11,2008,919750582,2.1832005755664747
France,Q243257,2021,12,1973,912028409,2.1633098054076076
France,Q243257,2022,1,2525,1010423601,2.4989519222443417
France,Q243257,2022,2,1769,913565308,1.9363695014565945
France,Q243257,2022,3,2247,943600446,2.3813045124397916
France,Q243257,2022,4,2205,890367476,2.4765055546570753
France,Q243257,2022,5,3523,1121683719,3.140814064004436
France,Q243257,2022,6,2694,1041100279,2.5876469868854968
France,Q243257,2022,7,3057,1065512494,2.8690419091416115
France,Q243257,2022,8,3583,1077926913,3.323973041945934
France,Q243257,2022,9,2921,1132524513,2.5791936213922817
France,Q243257,2022,10,2723,1331515134,2.045038716022585
France,Q243257,2022,11,2598,1345107583,1.931444021901704
France,Q243257,2022,12,1928,1335877183,1.4432464485022947
France,Q243257,2023,1,1929,1460542230,1.3207423656623747
France,Q243257,2023,2,1778,1120336981,1.5870225031873693
France,Q243257,2023,3,2370,1207401767,1.9628926052416489
France,Q243257,2023,4,2561,1114711904,2.297454607607743
France,Q243257,2023,5,3118,1086000340,2.871085657302833
France,Q243257,2023,6,3375,938656264,3.59556541562695
France,Q243257,2023,7,3983,1026263229,3.881070555242509
France,Q243257,2023,8,4392,1138264718,3.8585049071159916
France,Q243257,2023,9,3757,1259974462,2.981806467756804
France,Q243257,2023,10,2216,1300282127,1.7042455279399529
France,Q243257,2023,11,2055,1197136167,1.716596705243473
France,Q243257,2023,12,1570,1133013491,1.3856851771591128
France,Q243257,2024,1,1941,1309784571,1.4819230909996726
France,Q243257,2024,2,1707,1112986352,1.533711529285671
France,Q243257,2024,3,1914,1192545486,1.6049702275255604
France,Q243257,2024,4,2006,1004009603,1.997988857881472
France,Q243257,2024,5,2520,966309456,2.607860229818552
France,Q243257,2024,6,2413,955000728,2.526699644568229
France,Q243257,2024,7,4458,904675669,4.927732835931946
France,Q243257,2024,8,6165,1025672394,6.010691168119711
France,Q243257,2024,9,3833,951637286,4.027795102597525
France,Q243257,2024,10,2304,1022104086,2.254173553905546
France,Q243257,2024,11,2452,1188772051,2.0626326114727944
France,Q243257,2024,12,2112,1018339794,2.0739639287826948
France,Q243257,2025,1,3570,1547811209,2.3064828444461796
France,Q243257,2025,2,3657,1023633774,3.572566764488175
France,Q243257,2025,3,15029,1042223698,14.420128834951898
France,Q243257,2025,4,40179,1004282241,40.00767748316681
France,Q243257,2025,5,14500,993153468,14.599959087088441
France,Q243257,2025,6,16567,889307505,18.629101752604683
France,Q243257,2025,7,19264,850948651,22.63826375112263
France,Q243257,2025,8,30583,868565937,35.210913411631985
France,Q243257,2025,9,23623,903295430,26.152019832536958
France,Q243257,2025,10,6361,865956600,7.345633718826093
France,Q243257,2025,11,6470,904573964,7.152538385462529
France,Q243257,2025,12,3513,931359562,3.771905226866614
Italy,Q243257,2015,7,3595,540720849,6.648532244777564
Italy,Q243257,2015,8,3422,539975078,6.33732951653002
Italy,Q243257,2015,9,2164,569029813,3.8029641866936768
Italy,Q243257,2015,10,1217,572239748,2.1267309798969087
Italy,Q243257,2015,11,1213,578928046,2.0952517473993653
Italy,Q243257,2015,12,1373,578112229,2.374971382935406
Italy,Q243257,2016,1,4276,687098435,6.223271342482391
Italy,Q243257,2016,2,3581,639564331,5.599124007433117
Italy,Q243257,2016,3,1439,649810241,2.2144926460154077
Italy,Q243257,2016,4,1238,606658414,2.0406871007314504
Italy,Q243257,2016,5,1433,639819496,2.239694177746656
Italy,Q243257,2016,6,1733,602115345,2.8781860724708817
Italy,Q243257,2016,7,5514,564710422,9.76429650522724
Italy,Q243257,2016,8,2024,570222772,3.5494899526741457
Italy,Q243257,2016,9,2535,578710172,4.380431038976105
Italy,Q243257,2016,10,1334,586999016,2.2725762116098673
Italy,Q243257,2016,11,1051,621975497,1.6897771778298847
Italy,Q243257,2016,12,915,595419543,1.5367315546779088
Italy,Q243257,2017,1,1179,683578113,1.72474802451728
Italy,Q243257,2017,2,1118,620723941,1.8011227313044784
Italy,Q243257,2017,3,940,643084025,1.4617063454499588
Italy,Q243257,2017,4,971,597523379,1.6250410178511192
Italy,Q243257,2017,5,1230,627194797,1.961113207385233
Italy,Q243257,2017,6,2819,548516915,5.139312795850607
Italy,Q243257,2017,7,3995,526097767,7.593645612261266
Italy,Q243257,2017,8,2798,536619566,5.214122214842982
Italy,Q243257,2017,9,178571,567575369,314.62077065574704
Italy,Q243257,2017,10,12526,578802242,21.641243055171167
Italy,Q243257,2017,11,3062,580709396,5.272861126565964
Italy,Q243257,2017,12,1473,556813990,2.6454076701628852
Italy,Q243257,2018,1,1743,663772832,2.625898373617075
Italy,Q243257,2018,2,1584,589438956,2.687301176612426
Italy,Q243257,2018,3,1205,622558062,1.9355624375481943
Italy,Q243257,2018,4,1260,578596057,2.177685078832122
